E1330000762S02	A53940698	4	UNI	4	UNI	03P	Fahs
E1330000802 BL	A04490004	0.35299999999999998	M  	0.35299999999999998	M  	03P	Fahs
E1330000802 BL	A60110103	1	UNI	1	UNI	03P	Fahs
E1330000802 GR	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802 JA	A04600032SFP	0.54200000000000004	M  	0.54200000000000004	M  	03P	Fahs
E1330000802 JA	A60100253	4	UNI	4	UNI	03P	Fahs
E1330000802 MA	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802 N6	A04490004	0.35299999999999998	M  	0.35299999999999998	M  	03P	Fahs
E1330000802 N6	A60110103	1	UNI	1	UNI	03P	Fahs
E1330000802 N6	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802 N6	A04600032SFP	0.54200000000000004	M  	0.54200000000000004	M  	03P	Fahs
E1330000802 N6	A60100253	4	UNI	4	UNI	03P	Fahs
E1330000802 N6	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802 N6	A53840497	1	UNI	1	UNI	03P	Fahs
E1330000802 N6	A59930408	1	UNI	1	UNI	03P	Fahs
E1330000802 N6	A04499996	0.54200000000000004	M  	0.54200000000000004	M  	03P	Fahs
E1330000802 N6	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802 N6	A59920297	2	UNI	2	UNI	03P	Fahs
E1330000802 N6	A04490002SFP	0.56100000000000005	M  	0.56100000000000005	M  	03P	Fahs
E1330000802 N6	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802 N6	A60110103	1	UNI	1	UNI	03P	Fahs
E1330000802 N6	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802 N6	A53940698	2	UNI	2	UNI	03P	Fahs
E1330000802 N6	A53940698	4	UNI	4	UNI	03P	Fahs
E1330000802 NO	A04499996	0.54200000000000004	M  	0.54200000000000004	M  	03P	Fahs
E1330000802 NO	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802 OR	A59920297	1	UNI	1	UNI	03P	Fahs
E1330000802 V/R	A04490002SFP	0.56100000000000005	M  	0.56100000000000005	M  	03P	Fahs
E1330000802 V/R	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802 V/R	A60110103	1	UNI	1	UNI	03P	Fahs
E1330000802 VT	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802S01	A04600031	0.83399999999999996	M  	0.83399999999999996	M  	03P	Fahs
E1330000802S01	A60100253	4	UNI	4	UNI	03P	Fahs
E1330000802S01	A60100099	1	UNI	1	UNI	03P	Fahs
E1330000802S02	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802S02	A04499996	0.54200000000000004	M  	0.54200000000000004	M  	03P	Fahs
E1330000802S02	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802S02	A59930407	1	UNI	1	UNI	03P	Fahs
E1330000802S02	A53940698	4	UNI	4	UNI	03P	Fahs
E16770253	A60100287	1	UNI	1	UNI	03P	Fahs
E1920661 BLEU	A60100071	1	UNI	1	UNI	03P	Fahs
E1920661 BLEU	A60100566	0.255	M  	0.255	M  	03P	Fahs
E1920661 BLEU	A08722004	3.5000000000000003E-2	M  	3.5000000000000003E-2	M  	03P	Fahs
E1920661 BLEU	A60101014	1	UNI	1	UNI	03P	Fahs
E1920661 CONDO	A08722005	3.5000000000000003E-2	M  	3.5000000000000003E-2	M  	03P	Fahs
E1920661 ROUGE	A60100071	1	UNI	1	UNI	03P	Fahs
E1920661 ROUGE	A60100567	0.255	M  	0.255	M  	03P	Fahs
